"plot_code"	"sub_plot"	"plot_corner"	"collar_number"	"replica"	"measurement_code"	"treatment_code_partitioning"	"disturbance_code_control"	"litter_code"	"year"	"month"	"day"	"hour"	"min"	"instr"	"chmb_type"	"d_chamber"	"smpl_date"	"raw_start_time"	"raw_end_time"	"Time"	"CH4ppb"	"total_vol_L"	"collar_area_m2"	"collar_hght_cm"	"air_temp_c"	"soil_temp_c"	"atmp_mb"	"atmp_Kpa"	"RawReads"	"Flux_name"	"Comments"
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:37	9080	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:38	8955	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:39	8908	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:40	8832	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:41	8703	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:42	8488	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:43	8275	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:44	8130	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:45	8056	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
QUI-01	3	NA	1	1	TOT	NA	NA	NA	2016	11	23	7	10:20	Aeris_CH4_Laser	static-pvc	03-A1	11/23/16	07:08:20	07:16:20	07:09:46	7996	2.967276491	0.032429251	9.2	27.9	26.2	1010.1	101.01	CH4_QUI-01_2016-11_aeris.txt	CH4_QUI-01_2016-11-23_3_1-1	NA
